№ кв.;№ лицевого счета;ФИО квартиросъемщика;Входящее сальдо;;Начисления постоянные;Начисленные субсидии;Начисления разовые;Оплачено;Оплачено страховки;Оплачено субсидий;Исходящее сальдо;;Просроченная задолженность;Месяц последней оплаты
;;;Дебет;Кредит;;;;;;;Дебет;Кредит;;
Ленина ул. д.2;;;;;;;;;;;;;;
1;;;1423,31;0;2989,74;0;0;0;0;0;4413,05;0;1423,31;
2;;;0;0,01;1187,86;0;0;1187,86;0;0;0;0,01;0;авг.19
3;;;0;10,19;2193,58;0;0;2193,58;0;0;0;10,19;0;авг.19
4;;;0;49,55;2085;0;0;0;0;0;2035,45;0;0;
5;;;0;1041,95;2506,09;0;0;0;0;0;1464,14;0;0;
6;;;0;1027,62;1190,9;0;0;1190,9;0;0;0;1027,62;0;авг.19
7;;;0;18,72;648,34;0;0;648,34;26,07;0;0;18,72;0;авг.19
7;;;0;0;954,54;0;0;954,54;0;0;0;0;0;авг.17
8;;;0;34,16;1662,78;0;0;1662,78;40,03;0;0;34,16;0;июл.17
9;;;4206,23;0;4054,34;0;0;4285,18;0;0;3975,39;0;0;дек.18
10;;;1278,62;0;1534,01;0;0;3128,94;0;0;0;316,31;1278,62;июл.17
10;;;1875,78;0;1788,74;0;0;1910,54;0;0;1753,98;0;1875,78;авг.17
11;;;4934,58;0;2857,7;0;0;2979,17;53,73;0;4813,11;0;1955,41;авг.17
12;;;2650,43;0;2538,88;0;0;5296,48;59,32;0;0;107,17;2650,43;авг.17
13;;;1294,55;0;1521,49;0;0;0;0;0;2816,04;0;1294,55;
14;;;16003,98;0;2589,05;0;0;2704,48;0;0;15888,55;0;13299,5;июл.17
15;;;0;439,6;1232,06;0;0;1232;0;0;0;439,54;0;июл.17
16;;;26534,68;0;2493,48;0;0;0;0;0;29028,16;0;26534,68;
17;;;0;230,52;1774,75;0;0;1774,75;0;0;0;230,52;0;авг.17
18;;;1154,87;0;1092,3;0;0;1092,3;0;0;1154,87;0;1154,87;фев.14
18;;;0;912,11;1092,3;0;0;1092,3;0;0;0;912,11;0;авг.17
19;;;2339,2;0;2350,97;0;0;2466,38;0;0;2223,79;0;2339,2;авг.17
20;;;2166,12;0;2446,82;0;0;2446,82;0;0;2166,12;0;2166,12;авг.17
21;;;0;1419,18;2575,93;0;0;2575,94;0;0;0;1419,19;0;авг.17
22;;;2586,88;0;1321,17;0;0;0;0;0;3908,05;0;2586,88;
23;;;0;414,37;2807,93;0;0;0;0;0;2393,56;0;0;
24;;;2220;0;2374,5;0;0;2813,14;40,83;0;1781,36;0;2220;июл.17
25;;;2601,71;0;1788,53;0;0;1723,96;0;0;2666,28;0;877,75;авг.17
26;;;5006,41;0;2185,11;0;0;6517,54;0;0;673,98;0;2717,73;авг.17
26;;;1006,42;0;0;0;0;0;0;0;1006,42;0;1006,42;
27;;;0;1156,14;917,06;0;0;711,01;27,27;0;0;950,09;0;авг.17
27;;;1030,34;0;998,37;0;0;998,37;0;0;1030,34;0;1030,34;авг.17
28;;;0;149,92;2111,09;0;0;2111,09;0;0;0;149,92;0;авг.17
